


Gadgets
=======


0x000a1713: aad 0x81; ret 0x465; 
0x000cf67d: mov dword ptr [eax + 8], edx; ret 4; 
0x00047492: mov dword ptr [eax], edx; ret 4; 
0x000dfd88: mov dword ptr [eax], edx; ret; 
0x000e071b: mov dword ptr [ecx + 0x2dc0], eax; ret; 
0x000f887e: mov dword ptr [ecx], edx; ret; 
0x000c5247: mov dword ptr [edx + 0xc], ecx; ret; 
0x000dfd79: mov dword ptr [edx], eax; ret; 
0x000a8d43: mov dword ptr [edx], ecx; ret; 
0x0004e4c6: mov dword ptr [esp], ecx; ret; 
0x0005d768: mov eax, 0x2d; ret; 
0x000c54e9: mov eax, 0x400; ret; 
0x0013e0a4: mov eax, 0x41100e0a; ret; 
0x000f96be: mov eax, 0x55; ret; 
0x0010a71a: mov eax, 0x5bfffffc; ret; 
0x000e4e3c: mov eax, 0x81000268; ret; 
0x000e2f3c: mov eax, 0x81000287; ret; 
0x000db83c: mov eax, 0x810002fe; ret; 
0x000d0b3c: mov eax, 0x810003ab; ret; 
0x000bd93c: mov eax, 0x810004dd; ret; 
0x0009ba3c: mov eax, 0x810006fc; ret; 
0x0008fa3c: mov eax, 0x810007bc; ret; 
0x0006013c: mov eax, 0x81000ab5; ret; 
0x00052e3c: mov eax, 0x81000b88; ret; 
0x0003263c: mov eax, 0x81000d90; ret; 
0x000ea0b6: mov eax, 0xd; ret; 
0x00058234: mov eax, 0xe; ret; 
0x000d0b2e: mov eax, 0xffff; ret; 
0x000d0b28: mov eax, 0xffffff; ret; 
0x0002bbae: mov eax, 0xffffffff; ret; 
0x000ea0ce: mov eax, 5; ret; 
0x000ea09d: mov eax, 6; ret; 
0x000f9b93: mov eax, 7; ret; 
0x000d5ccf: mov eax, dword ptr [0x21ca89d8]; ret 0xc789; 
0x00104353: mov eax, dword ptr [0x81000073]; ret; 
0x000e4b53: mov eax, dword ptr [0x8100026b]; ret; 
0x000c7c53: mov eax, dword ptr [0x8100043a]; ret; 
0x0008de53: mov eax, dword ptr [0x810007d8]; ret; 
0x00082e53: mov eax, dword ptr [0x81000888]; ret; 
0x00077353: mov eax, dword ptr [0x81000943]; ret; 
0x0006ad53: mov eax, dword ptr [0x81000a09]; ret; 
0x0002d153: mov eax, dword ptr [0x81000de5]; ret; 
0x00044a59: mov eax, dword ptr [0x896ed9eb]; ret 0xf231; 
0x00057a34: mov eax, dword ptr [0x89fffff9]; ret 0x9ae9; 
0x00036d0b: mov eax, dword ptr [eax + 0x14]; ret; 
0x000d7df4: mov eax, dword ptr [eax + 0x20]; ret; 
0x000f1d88: mov eax, dword ptr [eax + 0xc]; ret; 
0x000eba4b: mov eax, dword ptr [eax]; ret; 
0x0009c1d8: mov eax, dword ptr [ecx + 0x22cc]; ret; 
0x0002a1d7: mov eax, dword ptr [ecx + 0x35d0]; ret; 
0x00044087: mov eax, dword ptr [ecx + 0x6400]; ret; 
0x00090a13: mov eax, dword ptr [ecx + 0xb7c4]; ret; 
0x00090a01: mov eax, dword ptr [ecx + 0xb7c8]; ret; 
0x000909ef: mov eax, dword ptr [ecx + 0xb7cc]; ret; 
0x000909dd: mov eax, dword ptr [ecx + 0xb7d0]; ret; 
0x000909b9: mov eax, dword ptr [ecx + 0xb7d8]; ret; 
0x0002bb23: mov eax, dword ptr [ecx + eax*4 + 0x367c]; ret; 
0x000d2a3e: mov eax, dword ptr [ecx + eax*4 - 0x28a4]; ret; 
0x000c54e1: mov eax, dword ptr [ecx + eax*4 - 0x38824]; ret; 
0x000c606d: mov eax, dword ptr [ecx + eax*4 - 0x38834]; ret; 
0x000c6380: mov eax, dword ptr [ecx + eax*4 - 0x38840]; ret; 
0x000e013b: mov eax, dword ptr [ecx - 0x1c4]; ret; 
0x00037eaf: mov eax, dword ptr [edx + eax*4]; ret; 
0x00060b42: mov eax, ecx; ret; 
0x000c54c0: mov eax, edx; ret; 
0x0014cdfa: mov ebp, 0x41100e0a; ret; 
0x000cf937: mov ebp, 0x810003bd; ret; 
0x000c7737: mov ebp, 0x8100043f; ret; 
0x000aae37: mov ebp, 0x81000608; ret; 
0x000a8c37: mov ebp, 0x8100062a; ret; 
0x0009c337: mov ebp, 0x810006f3; ret; 
0x00084037: mov ebp, 0x81000876; ret; 
0x0007fc37: mov ebp, 0x810008ba; ret; 
0x00065437: mov ebp, 0x81000a62; ret; 
0x00065237: mov ebp, 0x81000a64; ret; 
0x00060237: mov ebp, 0x81000ab4; ret; 
0x0005a837: mov ebp, 0x81000b0e; ret; 
0x00053937: mov ebp, 0x81000b7d; ret; 
0x00054bcf: mov ebp, 0x89fffd2d; ret 0x448d; 
0x00120838: mov ebx, 0x4cfff2b3; ret; 
0x0010a639: mov ebx, 0x81000010; ret; 
0x000f1f39: mov ebx, 0x81000197; ret; 
0x000ebb39: mov ebx, 0x810001fb; ret; 
0x000ea639: mov ebx, 0x81000210; ret; 
0x000bb639: mov ebx, 0x81000500; ret; 
0x000ba839: mov ebx, 0x8100050e; ret; 
0x00095439: mov ebx, 0x81000762; ret; 
0x0006f939: mov ebx, 0x810009bd; ret; 
0x00068139: mov ebx, 0x81000a35; ret; 
0x00065339: mov ebx, 0x81000a63; ret; 
0x00065039: mov ebx, 0x81000a66; ret; 
0x00034e39: mov ebx, 0x81000d68; ret; 
0x00034839: mov ebx, 0x81000d6e; ret; 
0x0005664d: mov ebx, dword ptr [eax - 0x76ffff90]; ret 0xe2c1; 
0x00027ab0: mov ebx, dword ptr [esp]; ret; 
0x000d2c3b: mov ecx, 0x8100038a; ret; 
0x000c4d3b: mov ecx, 0x81000469; ret; 
0x000b9d3b: mov ecx, 0x81000519; ret; 
0x000a333b: mov ecx, 0x81000683; ret; 
0x00096b3b: mov ecx, 0x8100074b; ret; 
0x0008393b: mov ecx, 0x8100087d; ret; 
0x0008183b: mov ecx, 0x8100089e; ret; 
0x0007343b: mov ecx, 0x81000982; ret; 
0x000a0096: mov ecx, 0x8301c083; ret 0x8b10; 
0x0010b6fc: mov ecx, dword ptr [esp]; ret; 
0x000d5eaf: mov edi, 0x31f289be; ret 0xca31; 
0x000ea2b3: mov edi, 0x7719fa80; ret; 
0x00109035: mov edi, 0x81000026; ret; 
0x000f4e35: mov edi, 0x81000168; ret; 
0x000d8035: mov edi, 0x81000336; ret; 
0x000d6a35: mov edi, 0x8100034c; ret; 
0x00098535: mov edi, 0x81000731; ret; 
0x00096235: mov edi, 0x81000754; ret; 
0x00090135: mov edi, 0x810007b5; ret; 
0x0007d235: mov edi, 0x810008e4; ret; 
0x00074835: mov edi, 0x8100096e; ret; 
0x00074635: mov edi, 0x81000970; ret; 
0x0005d635: mov edi, 0x81000ae0; ret; 
0x0004ac35: mov edi, 0x81000c0a; ret; 
0x00029d35: mov edi, 0x81000e19; ret; 
0x000e382a: mov edi, 0x83413c8d; ret 0xf01; 
0x000adc76: mov edi, 0xe9fffffd; ret; 
0x00128fb8: mov edx, 0x41100e0a; ret; 
0x00103c3a: mov edx, 0x8100007a; ret; 
0x000d833a: mov edx, 0x81000333; ret; 
0x000d083a: mov edx, 0x810003ae; ret; 
0x000c913a: mov edx, 0x81000425; ret; 
0x000c143a: mov edx, 0x810004a2; ret; 
0x000bf23a: mov edx, 0x810004c4; ret; 
0x000bae3a: mov edx, 0x81000508; ret; 
0x0009743a: mov edx, 0x81000742; ret; 
0x0009463a: mov edx, 0x81000770; ret; 
0x00050b3a: mov edx, 0x81000bab; ret; 
0x0002b83a: mov edx, 0x81000dfe; ret; 
0x000af6e0: mov edx, 0x83000007; ret 0x8b08; 
0x0010a6eb: mov edx, 0xffffffff; ret; 
0x000e493d: mov edx, dword ptr [ebx]; ret; 
0x0010b700: mov edx, dword ptr [esp]; ret; 
0x00147ae6: mov esi, 0x41080e0a; ret; 
0x000ee436: mov esi, 0x810001d2; ret; 
0x000c3736: mov esi, 0x8100047f; ret; 
0x000a9436: mov esi, 0x81000622; ret; 
0x00091e36: mov esi, 0x81000798; ret; 
0x00066536: mov esi, 0x81000a51; ret; 
0x00053536: mov esi, 0x81000b81; ret; 
0x0004fa36: mov esi, 0x81000bbc; ret; 
0x00031536: mov esi, 0x81000da1; ret; 
0x0002c036: mov esi, 0x81000df6; ret; 
0x000e9351: mov esi, 0x89000000; ret 0xe280; 
0x0004e9e7: mov esi, 0x8901c683; ret 0xb7eb; 
0x00062876: mov esi, 0x89fffffe; ret 0x448b; 
0x00118e5b: mov esi, 0xbf597fc7; ret 0xa88f; 
0x0005be24: mov esp, 0x1c083c0; ret; 
0x0005be2b: mov esp, 0x21c083c2; ret; 
0x000216b0: mov esp, 0x7001516; ret 4; 
0x000faa38: mov esp, 0x8100010c; ret; 
0x000eb838: mov esp, 0x810001fe; ret; 
0x000e9d38: mov esp, 0x81000219; ret; 
0x000dae38: mov esp, 0x81000308; ret; 
0x000c2f38: mov esp, 0x81000487; ret; 
0x000b6938: mov esp, 0x8100054d; ret; 
0x000b1c38: mov esp, 0x8100059a; ret; 
0x000a9a38: mov esp, 0x8100061c; ret; 
0x000a4238: mov esp, 0x81000674; ret; 
0x000a3838: mov esp, 0x8100067e; ret; 
0x00079838: mov esp, 0x8100091e; ret; 
0x00059e38: mov esp, 0x81000b18; ret; 
0x00054c38: mov esp, 0x81000b6a; ret; 
0x00046438: mov esp, 0x81000c52; ret; 
0x00042138: mov esp, 0x81000c95; ret; 
0x0003b838: mov esp, 0x81000cfe; ret; 
0x00036538: mov esp, 0x81000d51; ret; 
0x00035c38: mov esp, 0x81000d5a; ret; 
0x0002d438: mov esp, 0x81000de2; ret; 
0x0002c738: mov esp, 0x81000def; ret; 
0x000c6eb0: mov esp, 0x89fff5fa; ret 0xc085; 
0x000c92ed: mov esp, 0x89fffc7f; ret 0xcac1; 
0x00057200: mov esp, 0x89fffd00; ret 0x8389; 
0x0003b164: mov esp, 0x89ffffd9; ret 0x4483; 
0x00124654: mov esp, 0xbe00027f; ret 0xfffc; 
0x000e4901: mov esp, dword ptr [eax]; ret; 
0x00031416: mov word ptr [eax], 0xb; ret; 
0x000d5ff7: mov word ptr [ecx], es; ret; 
0x00120824: movsb byte ptr es:[edi], byte ptr [esi]; ret 0; 
0x0002a883: movsb byte ptr es:[edi], byte ptr [esi]; ret 0x101; 
0x000311bc: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc102; 
0x000a2698: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc104; 
0x00080bd3: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc105; 
0x000a26ab: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc106; 
0x00030f6f: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc109; 
0x000311e4: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc10a; 
0x000311a8: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc114; 
0x000311d0: movsb byte ptr es:[edi], byte ptr [esi]; ret 0xc11e; 
0x0005bdb9: movsd dword ptr es:[edi], dword ptr [esi]; ret 0xe0d3; 
0x000ead3b: movsx eax, word ptr [eax + edx*2 + 2]; ret; 
0x0002bc30: movzx eax, al; ret; 
0x000474ec: movzx eax, ax; ret; 
0x000e8992: movzx eax, cl; ret; 
0x000283be: movzx eax, word ptr [eax]; ret; 
0x0002e578: neg eax; ret; 
0x0002e541: neg edx; ret; 
0x00006e1a: or al, 0; ret; 
0x0004e4c7: or al, 0x24; ret; 
0x0002aabc: or al, 0x29; ret 0x448b; 
0x000a09bb: or al, 0x39; ret 0x8d0f; 
0x00125295: or al, 0x41; ret; 
0x00028553: or al, 0x5b; ret; 
0x0002a48d: or al, 0x5d; ret; 
0x000b66c2: or al, 0x81; ret 0x160; 
0x000cd007: or al, 0x83; ret 0x3910; 
0x0003b424: or al, 0x83; ret 0x8301; 
0x000f85b0: or al, 0x83; ret 0x8304; 
0x000d124a: or al, 0x83; ret 0x8901; 
0x000ec5c5: or al, 0x83; ret 0x8902; 
0x0008fcaf: or al, 0x83; ret 0xe901; 
0x0005c059: or al, 0x89; ret 0x4489; 
0x000ffa71: or al, 0x89; ret 0xc166; 
0x00054740: or al, 0x89; ret 0xce80; 
0x00051114: or al, 0x89; ret 0xe283; 
0x000512d8: or al, 0x89; ret 0xeac1; 
0x00047c3a: or al, 0x89; ret 0xfad1; 
0x00035bf5: or al, 0xc9; ret; 
0x000c572f: or al, 0xe8; ret; 
0x001097de: or al, 0xf6; ret 0x7408; 
0x00036595: or al, 0xf6; ret 0x7540; 
0x00047daf: or al, 1; ret 0x542b; 
0x000b53f5: or al, 1; ret 0x5489; 
0x0005fe8e: or al, 1; ret 0xfa81; 
0x0006a0c0: or al, 9; ret 0x840f; 
0x0003e6b3: or al, byte ptr [eax]; ret; 
0x0005d429: or al, byte ptr [ebp + 0x390978c9]; ret 0x297f; 
0x0003e089: or al, byte ptr [ecx]; ret 0xc031; 
0x00048330: or al, ch; ret 0xc33; 
0x00037d30: or al, ch; ret 0xd39; 
0x0012f3ee: or al, ch; ret; 
0x0003502e: or ax, 0x8100; ret; 
0x000f9f39: or bh, byte ptr [ecx]; ret 0xdb7d; 
0x000cface: or bh, dh; ret 0; 
0x0004361a: or byte ptr [eax + eax], 0x81; ret; 
0x000cea62: or byte ptr [eax - 0x7bf00107], al; ret 0; 
0x00006582: or byte ptr [eax], al; ret 0; 
0x0000f952: or byte ptr [eax], al; ret 0x1f; 
0x00009a22: or byte ptr [eax], al; ret 0x26; 
0x00013b52: or byte ptr [eax], al; ret 0x29; 
0x00007d32: or byte ptr [eax], al; ret 0x2b; 
0x00009ce2: or byte ptr [eax], al; ret 0x2d; 
0x00010502: or byte ptr [eax], al; ret 0x34; 
0x00006b22: or byte ptr [eax], al; ret 0x38; 
0x00012962: or byte ptr [eax], al; ret 0x41; 
0x0000bb32: or byte ptr [eax], al; ret 0x46; 
0x000139b2: or byte ptr [eax], al; ret 0x47; 
0x0000da22: or byte ptr [eax], al; ret 0x48; 
0x00007c22: or byte ptr [eax], al; ret 0x49; 
0x0000c982: or byte ptr [eax], al; ret 0x64; 
0x0000be42: or byte ptr [eax], al; ret 0x6a; 
0x0000c222: or byte ptr [eax], al; ret 0x6c; 
0x000147b2: or byte ptr [eax], al; ret 0x75; 
0x00006b92: or byte ptr [eax], al; ret 0x78; 
0x00006b72: or byte ptr [eax], al; ret 0x86; 
0x0000dc12: or byte ptr [eax], al; ret 0xb; 
0x0000925a: or byte ptr [eax], al; ret 3; 
0x00006c12: or byte ptr [eax], al; ret; 
0x000d6a4e: or byte ptr [ebp + 0x390478c0], al; ret 0x1d72; 
0x000e3240: or byte ptr [ebp + 0x390874c0], al; ret 0x850f; 
0x000f844e: or byte ptr [ebp + 0x39da75c9], al; ret 0xf372; 
0x0002d607: or byte ptr [ebp - 0x7ce78b37], al; ret 0x8b04; 
0x0006772e: or byte ptr [ebp - 0x7cef8b0a], al; ret 0x8904; 
0x0002d174: or byte ptr [ebp - 0x7cf68b37], al; ret 0x8b04; 
0x000dcc1d: or byte ptr [ebx + 0x29342454], cl; ret 0x5489; 
0x0014771b: or byte ptr [ebx + 0xa510202], al; ret; 
0x000b8fd7: or byte ptr [ebx - 0x17], bl; ret; 
0x001089f1: or byte ptr [ebx - 0x7c0dfeea], cl; ret 0x8909; 
0x000f85ac: or byte ptr [ebx - 0x7cf3dbbc], cl; ret 0x8304; 
0x0005c640: or byte ptr [ecx + 0x1eed3d1], cl; ret 0xf189; 
0x000f927a: or byte ptr [ecx + 0x7de82404], cl; ret 0xfff2; 
0x000b6e34: or byte ptr [ecx - 0x2c17dbfc], cl; ret 0xfff6; 
0x0002ba30: or byte ptr [ecx - 0x7cf61438], cl; ret 0x830c; 
0x001097f8: or byte ptr [ecx - 0x9efdbbc], cl; ret 0x7402; 
0x000db8f1: or byte ptr [ecx], al; ret 0x5489; 
0x0010a74e: or byte ptr [ecx], bh; ret 0x473; 
0x000f75f1: or byte ptr [ecx], bh; ret 0x840f; 
0x000e3244: or byte ptr [ecx], bh; ret 0x850f; 
0x000f5178: or byte ptr [ecx], bh; ret 0x8d0f; 
0x0010983a: or byte ptr [ecx], ch; ret 0x5189; 
0x00098eef: or byte ptr [ecx], ch; ret 0xc729; 
0x000da758: or byte ptr [ecx], cl; ret 0xfa81; 
0x000c5b98: or byte ptr [esp + edx - 0x7d], dh; ret 0x8301; 
0x00136d92: or cl, byte ptr [0x4108]; ret; 
0x00135515: or cl, byte ptr [0x4110]; ret; 
0x00050e57: or cl, byte ptr [ebx - 0x7ce3dbac]; ret 0x8901; 
0x000612eb: or cl, cl; ret; 
0x000ab708: or dh, dh; ret 0x7401; 
0x000ab6c5: or dh, dh; ret 0x7501; 
0x000c53ce: or dh, dh; ret 0x7503; 
0x000f884b: or dh, dh; ret 0x750f; 
0x0004337e: or dword ptr [eax + eax], 0xffffff81; ret; 
0x000eba6e: or dword ptr [eax - 2], 0x8bffff; ret; 
0x0012a384: or dword ptr [ebx], eax; ret 0xa02; 
0x0009b3a4: or dword ptr [ecx], ecx; ret 0x348d; 
0x000df6ed: or dword ptr [ecx], ecx; ret 0x9189; 
0x0005c73e: or dword ptr [ecx], edi; ret 0x297c; 
0x0005d42d: or dword ptr [ecx], edi; ret 0x297f; 
0x00060b99: or dword ptr [edx], eax; ret; 
0x00034e70: or eax, 0x12c38100; ret 0x11; 
0x00034e3b: or eax, 0x47c38100; ret 0x11; 
0x0004e059: or eax, 0x80000000; ret; 
0x00101de7: or eax, 0x81000099; ret; 
0x000ebee7: or eax, 0x810001f8; ret; 
0x000e61e7: or eax, 0x81000255; ret; 
0x000e07e7: or eax, 0x810002af; ret; 
0x000a62e7: or eax, 0x81000654; ret; 
0x00065ee7: or eax, 0x81000a58; ret; 
0x00056de7: or eax, 0x81000b49; ret; 
0x00048ce7: or eax, 0x81000c2a; ret; 
0x000488e7: or eax, 0x81000c2e; ret; 
0x000428e7: or eax, 0x81000c8e; ret; 
0x00036ee7: or eax, 0x81000d48; ret; 
0x00034e01: or eax, 0x81c38100; ret 0x11; 
0x000a79a9: or eax, 0x83000001; ret 0x3901; 
0x00034dcf: or eax, 0xb3c38100; ret 0x11; 
0x000cf729: or eax, 1; ret; 
0x00031419: or eax, dword ptr [eax]; ret; 
0x00146e5b: or eax, dword ptr [ebp + 0xa]; ret; 
0x0013fd58: or eax, dword ptr [ebx + 0xa]; ret; 
0x00141b7c: or eax, dword ptr [edi + 0xa]; ret; 
0x00129914: or eax, dword ptr [edx]; ret 0xe0a; 
0x0012fa9a: or eax, dword ptr [edx]; ret; 
0x000e891a: or eax, edx; ret; 
0x00127143: or ebp, dword ptr [eax + 0xa]; ret; 
0x0012e256: or ebp, dword ptr [ebx + 0xa]; ret; 
0x0013dd8f: or ebp, dword ptr [edx + 0xa]; ret; 
0x00125dd2: or ebp, dword ptr [esi + 0xa]; ret; 
0x00127087: or ebx, dword ptr [eax + 0xa]; ret; 
0x001270a3: or ebx, dword ptr [ebp + 0xa]; ret; 
0x0014bd03: or ebx, dword ptr [ebx + 0xa]; ret; 
0x00127095: or ebx, dword ptr [edx + 0xa]; ret; 
0x0012fe82: or ebx, dword ptr [esi + 0xa]; ret; 
0x000f31bb: or ecx, dword ptr [ebx + 0x29242454]; ret 0xfa83; 
0x0012f062: or ecx, dword ptr [ebx + 0xa]; ret; 
0x00130028: or ecx, dword ptr [ecx + 0xa]; ret; 
0x0012fe90: or ecx, dword ptr [edi + 0xa]; ret; 
0x00142a31: or edi, dword ptr [ebp + 0xa]; ret; 
0x0013de29: or edi, dword ptr [esi + 0xa]; ret; 
0x0013de84: or edx, dword ptr [eax + 0xa]; ret; 
0x0013de76: or edx, dword ptr [ebx + 0xa]; ret; 
0x0013e0e2: or edx, dword ptr [ecx + 0xa]; ret; 
0x0013dcf1: or esi, dword ptr [ecx + 0xa]; ret; 
0x0013de1b: or esi, dword ptr [edx + 0xa]; ret; 
0x0013dce2: or esp, dword ptr [edi + 0xa]; ret; 
0x00125bee: or esp, dword ptr [esi + 0xa]; ret; 
0x00037dd7: out 0xe8, al; ret; 
0x0013efcc: out dx, al; ret 0xfff7; 
0x000f119b: out dx, eax; ret 0xfffc; 
0x00011418: outsb dx, byte ptr [esi]; ret 9; 
0x0004e1a2: pop ds; ret; 
0x00036629: pop eax; ret 0xfffb; 
0x001270e1: pop eax; ret; 
0x000326c7: pop ebp; ret 4; 
0x00027dfc: pop ebp; ret; 
0x00118da4: pop ebx; ret 0x3956; 
0x0002e567: pop ebx; ret 4; 
0x00027b19: pop ebx; ret; 
0x00137422: pop ecx; ret; 
0x000bdc20: pop edi; ret 0xfff6; 
0x000cf6be: pop edi; ret 4; 
0x00028276: pop edi; ret; 
0x00124638: pop edx; ret 0xfffc; 
0x0012ac1b: pop edx; ret; 
0x00118f88: pop es; ret 0x21c0; 
0x00116ce8: pop es; ret 0xfff5; 
0x00021184: pop es; ret 2; 
0x000213e4: pop es; ret 3; 
0x000216b4: pop es; ret 4; 
0x000216bc: pop es; ret; 
0x000ea8fe: pop esi; ret 0xfff3; 
0x0005fa00: pop esi; ret 4; 
0x00027bc6: pop esi; ret; 
0x0005cfa2: pop esp; ret 0xff2; 
0x000f03b4: pop esp; ret 0xfffc; 
0x00141494: pop esp; ret 1; 
0x000a1c30: push 0x39000046; ret 0xdf74; 
0x001306f9: push 0x41080e0a; ret; 
0x00128607: push 0x41100e0a; ret; 
0x000fb78c: push 0x810000ff; ret; 
0x000ecb8c: push 0x810001eb; ret; 
0x000ca28c: push 0x81000414; ret; 
0x00077a8c: push 0x8100093c; ret; 
0x00036e8c: push 0x81000d48; ret; 
0x0012efa0: push 0xa; ret; 
0x00120820: push 0xa4fff29e; ret 0; 
0x00115a5c: push 0xfffff4c4; ret; 
0x00120308: push ds; ret; 
0x00061ed5: push dword ptr [ebp + edx - 0x77]; ret 0xe2c1; 
0x00116df3: push dword ptr [ebx]; ret 0xfff5; 
0x0005b259: push dword ptr [edx + ecx - 0x77]; ret 0xead1; 
0x00026d7c: push eax; ret 0xffff; 
0x00026c7c: push eax; ret; 
0x0010dfe3: push ebp; ret 0xffee; 
0x0012c401: push ebp; ret; 
0x00149c07: push ebx; ret; 
0x000364f8: push ecx; ret 0xfffb; 
0x001259a1: push ecx; ret; 
0x00064e2f: push edi; ret 0xe; 
0x00088945: push edi; ret 0xfff9; 
0x00074e34: push edx; ret 0xd; 
0x00116dcc: push edx; ret; 
0x000980e6: push es; ret 0xfff8; 
0x0002035c: push es; ret 1; 
0x000206d4: push es; ret 8; 
0x0002064c: push es; ret; 
0x000b460f: push esi; ret 0xf01; 
0x00054335: push esi; ret 0xf04; 
0x0005d060: push esi; ret 0xff2; 
0x000a9a26: push esi; ret; 
0x000377b3: push esp; ret; 
0x00124620: push ss; ret 0xfffc; 
0x00116de4: push ss; ret; 
0x0005bdc1: rcl bl, 0xe2; ret; 
0x00002f08: ret 0; 
0x00044e63: ret 0x10; 
0x0002a884: ret 0x101; 
0x0003d9d1: ret 0x1073; 
0x00034dd4: ret 0x11; 
0x000f2f9e: ret 0x118; 
0x000349c4: ret 0x11c6; 
0x00092d0b: ret 0x12; 
0x0003bd04: ret 0x1373; 
0x0002ee72: ret 0x13eb; 
0x0002f3ea: ret 0x1489; 
0x00056658: ret 0x148d; 
0x00069da7: ret 0x14e9; 
0x000b66c4: ret 0x160; 
0x000560c9: ret 0x1674; 
0x00083414: ret 0x1689; 
0x00068399: ret 0x16e9; 
0x000c2733: ret 0x1775; 
0x0010b5d8: ret 0x1776; 
0x00084000: ret 0x1789; 
0x00052d76: ret 0x17eb; 
0x0005bc92: ret 0x1872; 
0x0005bde2: ret 0x187c; 
0x0003e4b1: ret 0x18e9; 
0x0003b1cb: ret 0x1be9; 
0x000a21cd: ret 0x1c75; 
0x0010000c: ret 0x1ce9; 
0x000d6a54: ret 0x1d72; 
0x0005ca9c: ret 0x1d74; 
0x0003389c: ret 0x1e9; 
0x0000f954: ret 0x1f; 
0x000ccaec: ret 0x1f74; 
0x000fb65d: ret 0x2075; 
0x000949f4: ret 0x20eb; 
0x00013f84: ret 0x21; 
0x000679bb: ret 0x2174; 
0x0005bb55: ret 0x2175; 
0x00118f89: ret 0x21c0; 
0x0007a3b5: ret 0x22; 
0x000597fd: ret 0x2374; 
0x000ab0b3: ret 0x2474; 
0x0006ce3b: ret 0x24e8; 
0x00031994: ret 0x2575; 
0x00009a24: ret 0x26; 
0x0006339e: ret 0x271; 
0x00062494: ret 0x272; 
0x0006208b: ret 0x273; 
0x0005490e: ret 0x27e8; 
0x000a5925: ret 0x28b; 
0x00013b54: ret 0x29; 
0x0003cff1: ret 0x2901; 
0x000aa4e3: ret 0x2904; 
0x00090227: ret 0x2910; 
0x0005c740: ret 0x297c; 
0x0005d42f: ret 0x297f; 
0x001056b6: ret 0x2a74; 
0x00007d34: ret 0x2b; 
0x00009ce4: ret 0x2d; 
0x0002d94f: ret 0x2e75; 
0x000b2e26: ret 0x2f76; 
0x000a74b0: ret 0x3076; 
0x000d6508: ret 0x3101; 
0x000f77e5: ret 0x3103; 
0x0003e2d6: ret 0x3104; 
0x000f2de2: ret 0x3140; 
0x000fe983: ret 0x3273; 
0x00010504: ret 0x34; 
0x0009b3a6: ret 0x348d; 
0x00064043: ret 0x3724; 
0x00006b24: ret 0x38; 
0x0002c593: ret 0x3901; 
0x000d6fbd: ret 0x3902; 
0x00042557: ret 0x3904; 
0x000d57b7: ret 0x3906; 
0x000a801f: ret 0x3908; 
0x000ccd56: ret 0x390c; 
0x00061dec: ret 0x3910; 
0x000e9900: ret 0x3920; 
0x000821f1: ret 0x3928; 
0x00118da5: ret 0x3956; 
0x000cc3c8: ret 0x3960; 
0x0002c793: ret 0x3b04; 
0x0003acf0: ret 0x3b10; 
0x000fbb44: ret 0x3b60; 
0x00118eb6: ret 0x3b81; 
0x0008f3cf: ret 0x3c01; 
0x00044be1: ret 0x3c77; 
0x0008a218: ret 0x3c80; 
0x000d1f64: ret 0x3e74; 
0x000a0033: ret 0x3e95; 
0x00057421: ret 0x3f3c; 
0x00045321: ret 0x3f74; 
0x000b540b: ret 0x3fe; 
0x00060fc4: ret 0x3ff; 
0x000d4a95: ret 0x408b; 
0x0009d981: ret 0x40c6; 
0x00012964: ret 0x41; 
0x0004d53f: ret 0x413b; 
0x0005a3f6: ret 0x4175; 
0x000e33d8: ret 0x418b; 
0x000ba627: ret 0x428b; 
0x000a7722: ret 0x428d; 
0x0007e99e: ret 0x4439; 
0x000e8d1e: ret 0x443b; 
0x00039f44: ret 0x4483; 
0x000d5721: ret 0x4488; 
0x000311f7: ret 0x4489; 
0x0002a814: ret 0x448b; 
0x00054bd4: ret 0x448d; 
0x00057e3d: ret 0x44c7; 
0x000d1cb4: ret 0x44f6; 
0x0003c980: ret 0x4503; 
0x000fef7b: ret 0x4574; 
0x0003c7ed: ret 0x4589; 
0x00039fc0: ret 0x458b; 
0x000c5e24: ret 0x45c6; 
0x0000bb34: ret 0x46; 
0x000a1715: ret 0x465; 
0x0009f68d: ret 0x466; 
0x00068fd2: ret 0x4689; 
0x000139b4: ret 0x47; 
0x0010a750: ret 0x473; 
0x00063d54: ret 0x475; 
0x0000da24: ret 0x48; 
0x000ad314: ret 0x488d; 
0x00064894: ret 0x489; 
0x000387f7: ret 0x48b; 
0x0002a349: ret 0x48d; 
0x00007c24: ret 0x49; 
0x00063d0f: ret 0x4975; 
0x000c1e32: ret 0x498; 
0x0003818c: ret 0x4a8d; 
0x000a3676: ret 0x4c88; 
0x0002eee8: ret 0x4c89; 
0x0002eb49: ret 0x4c8b; 
0x00100a7e: ret 0x4c8d; 
0x000f9082: ret 0x4d8b; 
0x0003098b: ret 0x4e74; 
0x000a2198: ret 0x5175; 
0x00051dfa: ret 0x5189; 
0x001190eb: ret 0x51a3; 
